g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	
g801	1.85	-1.22	2.25	1.52	7.01	2.66	-0.39	0.37	0.33	2.27	-2.39	-3.01	1.85	5.49	1.54	-0.48	1.18	-0.73	-0.32	5.1	
g802	0.16	-1.03	1.17	2.41	2.66	1.07	1.4	1.37	0.4	0.89	0.31	1.05	-1.26	-4.26	-7.41	-3.85	-1.2	0.12	-0.89	-0.13	
g803	-2.15	0.06	-2.17	0.77	1.07	-0.84	1.77	0.82	0.33	-0.03	1.73	-0.9	-0.9	-0.18	0.99	3.47	-0.36	-0.95	-0.05	0.72	
g804	2.53	-3.89	0.17	-3.33	1.75	0.17	1.01	1.46	1.62	0.25	1.44	5.27	1.48	4.48	1.37	1.94	-1.59	-1.32	-3.08	-1.62	
g805	3.45	1.22	0.8	-1.06	2.52	-3.79	3.97	0.31	0.01	-0.99	-3.93	-2.51	1.22	1.65	0.57	0.99	-2.6	-1.85	-0.49	6.37	
g806	2.88	-0.72	-0.14	0.33	-0.25	2.6	0.25	-2.95	3.26	-0.2	-0.87	-0.63	0.35	-6.93	1.16	-0.07	-1.68	0.2	-0.09	2.0	
g807	-3.18	2.21	-5.13	-2.45	-0.55	0.57	-1.81	0.55	-0.65	0.11	0.16	-0.17	0.05	2.38	0.55	-2.26	-0.46	0.09	0.17	-0.41	
g808	0.15	-0.81	1.54	-1.84	-2.38	0.74	1.33	-1.18	2.18	0.63	1.0	1.78	2.39	0.21	-0.98	-3.81	0.47	-0.03	-0.56	-0.2	
g809	-0.59	0.01	-1.65	-0.54	-3.91	-0.66	1.72	-0.27	-0.57	-0.01	-0.29	0.19	-3.18	-1.28	-2.52	0.78	-0.08	-0.06	0.19	-0.58	
g810	0.16	2.97	2.39	-1.53	-2.74	1.92	0.49	-1.05	1.01	0.06	2.93	-0.08	-0.16	-1.25	-0.04	1.99	1.03	-7.38	0.71	3.45	
g811	0.88	1.96	-1.75	-2.99	-1.09	4.33	-0.45	-3.77	0.92	0.46	4.82	-0.16	0.41	3.92	-0.16	-0.62	-1.27	1.56	0.75	0.03	
g812	-1.22	0.98	0.14	-1.5	0.44	-0.35	1.65	3.32	2.29	-0.55	-0.07	1.29	-1.02	2.36	-0.17	1.98	2.35	-1.47	-0.04	-3.1	
g813	-0.37	-0.65	-0.87	-0.08	-0.88	0.7	0.98	1.78	-0.95	-0.9	1.55	-0.05	-0.89	0.6	-2.27	6.12	-2.27	-0.72	-0.59	3.49	
g814	-0.33	1.84	0.92	0.34	2.31	-1.97	-1.49	-5.37	4.42	-2.83	-2.5	-2.61	1.85	2.56	0.4	2.59	2.96	-1.27	-2.56	1.27	
g815	0.78	1.07	1.6	1.8	1.23	2.53	3.83	1.7	-0.63	-2.43	-0.68	1.25	2.42	0.04	0.37	10.03	1.88	1.6	-0.65	-1.96	
g816	0.33	3.22	0.9	-0.36	-1.87	0.43	-2.85	-1.56	-0.35	0.4	0.6	0.6	-0.44	1.58	0.99	-0.06	-0.53	-0.68	-0.24	-1.86	
g817	-3.02	-1.17	0.31	-0.89	1.33	2.13	-1.51	3.07	-2.17	-3.23	-3.13	-0.66	0.48	0.67	13.1	1.28	-2.37	2.29	-0.35	-0.5	
g818	0.56	-0.7	0.17	-0.82	-2.58	0.73	-0.59	-1.41	-0.74	0.26	-0.74	-1.98	-0.41	-1.78	0.98	1.44	1.27	0.76	1.13	2.88	
g819	1.2	1.7	0.32	-1.05	-0.83	2.72	-0.64	-0.76	1.45	-0.25	-0.9	0.38	1.39	1.82	0.29	0.69	-1.31	-1.24	-1.75	0.03	
g820	-0.86	0.88	0.98	1.29	-0.6	0.71	-2.09	-0.68	-0.2	0.01	0.63	0.12	-3.8	-0.21	1.67	-0.28	0.74	0.92	0.65	1.07	
g821	0.47	-1.68	-1.02	-1.88	-0.79	2.57	-1.65	1.15	1.59	1.27	1.05	1.24	-3.66	1.33	-1.62	3.74	-1.51	0.63	-0.65	-0.41	
g822	-3.44	0.74	-0.19	1.86	-0.97	0.9	-0.97	-0.77	3.22	1.04	0.85	0.93	-2.35	-2.28	-0.54	0.44	0.47	1.39	0.12	0.04	
g823	-3.19	-0.26	1.89	-0.23	5.65	-2.1	0.91	-0.88	0.66	1.66	0.14	0.43	-0.92	-0.41	0.84	0.42	-0.67	1.73	0.16	0.33	
g824	-2.29	-3.44	0.56	-2.01	1.47	-0.52	-6.32	0.57	0.75	0.06	0.45	-0.18	-3.17	-3.69	1.02	-1.69	-0.33	-0.74	-0.12	0.59	
g825	1.35	1.93	-0.08	0.32	-5.29	-2.36	1.53	-0.39	0.15	-0.03	0.71	-0.32	-0.78	-4.15	0.67	1.31	0.43	0.55	0.6	0.81	
g826	-0.15	0.65	0.43	0.62	-3.51	-1.92	0.61	-0.18	5.22	0.32	-0.02	0.12	0.69	0.47	0.15	-3.26	0.39	0.2	0.54	0.62	
g827	-0.37	-0.65	-0.17	0.84	-0.71	-0.5	-0.05	-0.59	-0.6	-0.44	0.0	-0.1	0.96	-0.61	-0.46	-0.82	0.15	0.09	0.28	0.76	
g828	0.14	0.52	-5.39	-1.87	1.19	0.19	-0.54	0.75	0.93	1.66	1.36	0.99	1.02	-0.58	0.5	-0.31	-2.28	-2.75	-0.8	-1.08	
g829	-2.44	0.53	1.06	2.56	-2.45	-1.29	-2.19	-1.11	-0.91	-1.51	-1.62	-1.34	-4.85	-0.53	1.46	-3.14	2.55	0.21	-1.48	-1.06	
g830	1.02	-0.25	-4.34	-1.73	1.36	0.06	-3.8	-0.39	-0.4	0.68	-0.34	0.36	-2.2	-1.79	1.23	-2.57	-1.52	0.06	-1.87	-2.18	
g831	1.41	-0.72	-1.74	-2.96	-0.31	1.59	0.09	2.31	2.77	2.36	2.06	2.19	-2.57	0.88	-3.59	1.7	-2.47	-0.27	-0.87	-4.44	
g832	-0.57	-3.1	-8.62	-0.71	1.62	-6.4	-0.8	-1.01	1.66	-3.12	-1.1	-3.64	3.76	0.52	0.2	0.23	-4.57	-1.47	-0.61	-0.14	
g833	0.03	-2.52	1.13	-2.61	-1.47	0.77	0.44	1.08	0.24	0.33	-0.06	0.28	1.99	-2.02	-1.56	1.09	-0.87	-0.17	-0.33	0.12	
g834	1.41	1.13	3.55	2.96	-2.46	1.95	1.52	1.14	-2.04	0.27	0.16	0.39	-4.67	-0.31	-0.71	-1.34	0.41	-0.79	-0.24	2.06	
g835	1.82	-0.67	-1.63	0.0	-0.06	-6.08	0.94	-2.74	-1.0	-0.9	-0.79	-0.65	0.78	-0.93	-0.87	-7.58	-0.07	-0.4	-0.25	-0.57	
g836	-3.62	-6.08	-0.9	-2.71	-0.11	-1.19	-2.47	-1.01	-1.17	-1.55	-1.36	-1.31	-1.82	-0.81	-0.62	-4.23	-2.01	-0.35	-0.32	-2.45	
g837	-0.01	3.1	1.17	1.6	1.43	-1.07	-0.87	-1.62	-1.48	-0.21	-0.28	0.03	-0.97	0.42	0.18	5.06	0.37	6.21	-1.06	-5.36	
g838	-1.77	1.44	-0.32	-0.38	-0.69	-1.82	-2.38	0.5	-2.82	-1.85	0.26	-1.52	-2.81	-2.09	-0.87	-0.2	1.39	-1.03	-0.83	-0.21	
g839	1.63	-0.23	-1.96	-3.04	-2.13	-0.76	-1.29	-0.94	-2.5	-1.22	-0.42	-1.36	0.15	2.24	-1.33	0.05	-0.52	-1.16	0.12	0.29	
g840	-3.51	1.56	1.63	0.95	-0.18	0.13	0.01	0.51	0.08	-0.27	-0.04	1.59	-0.02	-0.16	0.63	1.02	2.66	-0.01	0.01	0.23	
g841	-1.74	0.46	-0.3	0.85	0.91	0.53	0.21	-0.27	-1.34	-1.31	-0.8	-0.62	-2.26	0.09	0.1	-0.19	0.0	-0.74	-0.16	0.21	
g842	-2.03	-3.21	-0.8	-1.71	-5.7	-2.71	-5.53	-1.3	-2.23	-0.38	-0.94	-0.64	-4.53	-0.69	0.19	-2.67	0.04	-0.66	-0.59	-0.77	
g843	-2.5	-2.2	-2.19	-4.05	-6.29	-1.43	-2.09	-1.08	1.04	0.31	-0.66	-0.84	-3.76	0.01	-3.16	-3.77	-1.7	0.21	-0.63	-2.32	
g844	0.48	2.52	0.45	-0.26	-0.46	1.55	1.02	-2.0	0.22	0.35	-0.56	0.14	1.6	0.7	0.87	1.65	0.86	0.62	-0.14	0.48	
g845	3.39	-0.67	0.66	-2.94	-2.03	2.45	3.64	3.14	3.16	2.1	2.02	1.84	-2.0	-2.1	-3.47	-0.45	-1.38	0.51	-2.03	-1.19	
g846	1.05	2.59	-0.39	-1.22	-3.93	1.09	1.06	-0.21	-1.35	-0.12	0.09	0.06	3.73	-1.26	-0.13	-0.46	-1.04	0.2	0.71	-0.31	
g847	0.25	-0.43	-1.98	-1.16	-2.33	0.48	1.07	2.21	0.41	0.06	0.87	0.65	1.08	-0.01	-1.2	-1.37	-0.58	-1.32	-1.13	-0.65	
g848	0.17	-0.1	-0.52	-0.49	-1.06	-4.66	0.6	1.49	0.91	0.51	0.27	0.83	-10.12	1.6	-1.81	-0.15	0.01	-0.56	-0.94	-1.02	
g849	-0.18	-0.03	-0.52	-5.27	-4.23	-0.67	-0.17	-0.44	-1.37	0.08	0.18	0.15	-0.88	0.7	-2.58	-0.75	-1.11	-0.71	-0.88	-0.56	
g850	1.72	1.42	-1.05	0.87	2.48	0.96	-4.59	-2.12	-0.81	0.12	1.18	0.5	0.92	3.59	0.21	-0.27	-0.46	0.38	0.47	0.54	
g851	0.43	2.82	3.48	1.82	-1.06	3.1	2.7	0.89	-0.7	0.6	0.22	0.21	-0.07	-0.18	-0.32	1.69	-1.01	-1.27	-0.07	-0.74	
g852	-2.45	1.18	0.14	0.48	-1.17	0.66	-0.54	0.47	-0.79	0.56	0.21	-1.48	-2.17	0.27	0.71	-0.23	-0.77	1.98	-0.32	-0.45	
g853	-0.97	1.32	-2.47	1.23	2.54	-0.29	1.36	-2.26	-1.01	0.83	0.56	-0.03	0.94	0.09	0.73	0.06	0.19	1.64	1.19	0.15	
g854	-0.88	0.99	2.61	1.72	-1.66	-2.03	-2.25	3.86	-0.94	0.06	-0.4	0.01	-2.86	0.1	0.6	-6.07	0.43	0.07	-0.18	-2.23	
g855	-0.12	0.29	-1.4	1.25	-0.81	0.06	-2.19	-0.07	-0.88	0.2	-0.08	-0.15	0.09	-0.17	-0.7	-2.52	0.11	0.9	0.07	-3.33	
g856	-2.21	-0.21	1.04	1.92	1.77	1.3	0.34	0.63	-1.0	0.09	-0.24	1.05	-0.04	-1.16	-0.94	-4.12	1.34	0.12	-0.54	0.65	
g857	-1.95	5.17	-1.03	-1.53	0.61	-0.3	0.3	-0.59	-0.75	2.38	-1.93	-1.01	-0.51	0.97	2.03	-4.85	-1.84	-4.7	-0.65	-2.77	
g858	0.56	1.75	-0.23	0.52	-2.42	0.36	3.08	0.25	-1.65	0.23	0.59	0.41	0.15	0.89	-0.49	1.98	0.76	-1.51	0.07	1.85	
g859	1.52	-0.54	-0.07	0.39	0.89	-2.57	0.81	1.88	-1.46	0.24	0.69	0.98	-3.91	0.26	2.38	-1.34	1.65	-1.11	-0.06	1.03	
g860	-0.14	0.74	-0.21	-1.91	-2.46	1.93	-0.69	0.4	0.8	1.34	0.29	1.48	-1.22	-1.22	-2.25	1.45	-0.78	-1.04	0.63	0.16	
g861	-0.22	-1.78	0.44	-0.84	0.22	1.17	-0.33	-1.12	-1.08	0.73	-0.27	0.52	-0.1	2.04	0.66	0.88	0.74	0.09	0.44	0.84	
g862	-0.91	-2.21	-2.07	-0.04	-2.01	-0.44	-3.71	-1.4	-0.24	-0.4	-0.87	-0.16	-7.27	-0.11	0.6	-3.6	-1.73	0.1	0.18	-0.02	
g863	0.14	-1.61	-1.18	2.67	3.68	-2.22	-4.13	0.17	-1.39	-1.43	-0.82	-1.39	3.68	0.64	-0.56	0.33	-2.58	-0.29	-2.11	-2.36	
g864	0.05	-0.08	-0.49	-2.11	-0.42	0.88	-2.44	-1.12	-0.51	-1.3	-0.29	-0.49	-1.78	-1.67	-2.26	-1.98	-4.05	-0.27	0.41	-3.16	
g865	0.46	-0.3	0.08	-0.82	-1.21	1.18	0.56	0.71	0.31	0.97	0.67	1.28	-1.55	1.73	-0.4	1.87	-0.34	-0.52	0.14	1.59	
g866	-0.27	1.29	1.0	0.45	-2.21	0.82	1.87	-0.21	-1.19	-1.52	-1.16	-0.22	2.23	0.59	1.37	1.35	0.31	-0.24	0.31	2.23	
g867	0.82	-0.79	-1.69	-2.91	-0.28	0.16	-1.29	0.02	0.93	0.01	0.19	0.26	-2.13	-0.51	-2.42	-1.17	-1.68	-0.45	-0.17	-2.6	
g868	-0.52	0.23	1.03	3.7	-0.79	-0.42	1.26	-0.79	-1.52	-0.47	-0.03	-0.34	-1.62	-0.36	0.46	0.37	-0.08	-0.23	-0.12	-1.2	
g869	2.95	-4.2	-0.01	-1.22	-1.96	-1.39	-0.13	1.18	-1.79	-1.21	-0.17	-0.13	-0.47	1.95	-1.9	3.66	-1.05	-0.74	-0.13	-0.58	
g870	-0.83	0.3	-0.07	-0.56	-0.73	0.97	-0.81	-0.81	-0.39	-0.44	-0.74	-1.22	-2.31	0.16	-0.01	-1.72	-0.24	0.08	-0.4	0.37	
g871	0.55	3.64	-1.8	-1.26	1.78	-0.49	2.6	-0.07	2.22	2.02	0.08	1.68	-1.27	-7.08	2.49	5.78	-0.13	-0.4	-0.05	0.04	
g872	-0.33	1.13	2.32	-0.23	1.42	1.37	-3.22	-0.29	-0.78	0.03	0.09	0.35	-2.66	1.3	0.51	3.52	0.19	-0.23	0.11	-0.95	
g873	0.39	0.76	-1.48	-3.71	0.42	0.36	-0.39	0.7	0.63	1.18	0.2	0.52	0.31	1.4	0.31	-1.53	-1.03	0.23	-0.85	0.12	
g874	0.84	2.05	-0.75	0.22	0.22	-1.11	0.04	-0.26	-1.04	0.38	0.49	-0.99	2.04	0.47	-1.07	-2.79	-0.23	-0.21	-0.1	-0.53	
g875	2.31	-1.29	-4.23	0.98	3.61	-0.21	-0.37	1.1	1.45	-0.39	0.14	-4.9	1.16	0.23	0.18	-4.36	1.02	2.31	-0.29	-2.19	
g876	-0.99	1.0	-0.6	2.31	-2.58	-1.78	-3.34	-1.1	-0.32	-0.02	-0.42	0.25	-0.26	1.35	2.23	-1.8	2.44	-0.24	-0.18	-0.69	
g877	0.57	-0.02	-1.68	1.43	-2.14	-3.18	0.1	-0.26	-2.3	-0.84	-0.23	0.15	6.86	1.61	1.35	4.62	0.38	-0.27	0.0	-0.08	
g878	0.01	0.49	0.09	0.07	-0.07	-1.4	0.21	-2.18	-1.08	-0.18	-0.48	-0.78	-1.69	1.91	2.46	-4.84	0.5	0.08	0.36	-0.44	
g879	2.27	-1.22	-3.23	2.3	3.81	-0.21	0.8	1.02	1.23	2.92	-0.7	0.32	1.31	-1.13	0.17	0.6	0.48	-0.34	-5.61	-1.2	
g880	2.61	1.58	2.86	-1.25	2.47	4.35	1.48	0.43	-2.05	-2.11	-0.77	0.09	0.77	2.01	-2.32	0.37	1.13	2.15	-1.62	1.83	
g881	-0.48	0.26	-7.74	0.07	4.46	0.05	-2.31	-0.98	-1.58	3.16	0.26	0.18	-0.8	-0.17	-1.3	-1.03	-1.17	4.03	2.67	-0.54	
g882	1.74	-0.7	-6.07	4.26	4.86	6.05	-0.16	1.15	5.2	0.99	0.27	-0.52	-1.04	-0.3	2.77	1.74	1.0	2.26	-1.39	-0.3	
g883	-2.0	1.75	-5.39	-0.46	-3.32	-2.41	-0.16	-1.88	-2.04	-1.04	-0.64	1.69	0.96	-2.12	1.4	1.17	-0.18	-0.99	-0.59	1.01	
g884	-2.0	-6.35	-0.53	-1.07	-0.73	-0.87	2.79	-1.46	2.82	-3.42	1.34	-0.23	-0.36	-1.41	0.39	-0.16	1.44	-0.28	-0.56	1.25	
g885	0.65	4.81	1.81	0.07	-0.64	-3.73	0.89	-1.23	0.11	0.82	-2.38	0.2	5.16	-1.12	1.98	1.91	-2.06	-3.67	-2.7	3.24	
g886	0.33	2.2	5.16	-0.57	0.77	-5.19	0.12	4.35	-4.86	1.4	2.17	0.63	0.82	2.17	-1.86	-2.42	3.06	-1.47	-2.38	0.47	
g887	-2.48	1.87	0.61	0.93	7.17	1.54	-2.37	1.62	-2.1	-1.15	-2.91	-1.45	2.14	-0.72	-0.2	-1.44	-6.01	1.64	-0.55	-0.07	
g888	0.13	2.27	-0.74	-0.75	-0.16	-0.87	0.05	2.3	-2.38	-1.21	-1.12	-3.27	0.76	-0.84	0.31	1.12	-0.46	0.32	-0.18	1.36	
g889	-1.81	0.09	0.34	0.83	1.6	-0.08	1.65	0.42	-2.75	3.44	-0.76	-0.05	-0.32	0.69	1.77	2.83	-0.38	1.51	-2.94	1.28	
g890	0.11	3.71	4.92	2.8	2.47	2.04	-2.19	0.52	-0.25	-1.82	-2.31	-0.63	-0.61	2.28	0.16	-5.63	2.02	0.82	-0.89	1.42	
g891	0.16	0.82	2.93	0.67	1.0	2.55	-1.24	1.09	0.31	0.77	0.0	0.15	-1.18	-4.9	-3.21	1.62	0.14	0.14	0.3	0.52	
g892	0.29	0.59	2.93	1.32	1.32	-0.44	-0.52	-0.41	0.68	0.78	0.37	0.58	-0.48	1.91	-0.2	-6.0	0.52	0.05	0.62	1.3	
g893	-2.35	0.04	-1.9	1.64	-0.85	0.05	-0.44	-1.05	-0.92	-0.13	0.53	0.15	0.56	0.16	-0.77	0.6	0.58	0.23	0.29	0.82	
g894	-1.13	4.32	-1.07	0.42	-2.86	1.11	-2.13	-0.54	-1.57	-0.81	0.04	0.36	0.48	0.98	1.0	-3.9	-1.1	0.13	0.03	0.0	
g895	-1.32	0.64	-1.44	-3.3	1.7	-0.61	-1.12	0.31	-2.98	-1.83	-0.85	-1.15	1.51	-0.17	3.57	-1.51	0.43	-1.0	0.2	-1.29	
g896	0.95	-1.84	-3.56	-0.1	2.08	0.23	-1.29	1.29	-1.06	1.89	1.82	2.21	-1.45	2.18	-1.24	-1.33	-1.33	-1.11	0.08	-4.56	
g897	-0.15	1.81	5.42	-0.8	-1.25	2.08	-2.93	0.89	-0.22	2.78	-0.24	1.67	-1.63	1.95	-3.58	-0.15	-0.32	4.49	-0.75	-1.93	
g898	0.51	2.36	1.66	1.02	0.71	0.02	-2.01	0.47	-0.08	0.23	0.4	0.18	1.08	0.21	1.35	-0.15	0.88	-0.32	0.55	0.13	
g899	0.1	0.36	-5.77	-0.73	-0.17	-2.06	3.17	-0.81	-0.66	0.35	0.33	0.31	0.44	0.27	-1.27	1.15	0.71	-0.25	0.45	-5.9	
g900	0.24	-1.23	-0.55	-1.24	-0.04	-0.88	7.71	-1.47	-1.1	0.14	-0.17	-0.01	-3.8	-0.14	-0.46	0.97	-0.17	-0.73	0.4	-0.13	
g901	-1.16	1.64	-0.01	2.25	-1.03	1.11	3.18	1.53	0.15	-0.14	0.44	-0.36	-0.58	-0.48	1.5	-0.76	-0.13	0.11	0.19	0.0	
g902	0.47	-1.89	-0.67	-0.54	3.63	-0.61	-3.19	1.11	-2.28	-0.72	1.29	1.05	-2.19	3.91	-3.1	-2.05	-1.26	-0.22	0.51	-2.42	
g903	-0.64	0.09	1.06	-1.35	-2.01	-0.64	-0.44	0.15	0.79	0.14	1.13	0.39	-1.69	0.97	-1.56	-1.04	-1.55	-0.5	-0.82	-3.31	
g904	0.89	-0.28	0.41	1.19	0.85	1.0	0.42	-0.08	0.14	-0.28	0.41	0.48	1.28	-0.59	-1.0	-1.53	-2.09	-0.14	0.16	-2.85	
g905	-2.89	0.74	1.41	1.02	-0.66	-2.17	-0.32	-1.69	-1.14	-2.36	-2.67	-2.13	-0.52	-0.66	1.31	-3.38	1.7	-0.08	-1.82	-1.23	
g906	0.37	1.5	0.37	-0.39	0.04	0.69	2.13	1.01	1.23	2.15	1.29	0.84	1.57	0.3	-0.84	-2.27	0.3	-0.22	0.01	0.07	
g907	0.42	1.71	-4.78	1.78	1.85	1.12	-2.14	0.26	-0.39	-0.58	-0.12	0.15	-3.75	1.6	1.5	0.99	-1.14	0.06	0.88	-2.25	
g908	-1.01	-2.18	0.09	-1.0	0.75	-0.17	-5.94	-0.99	0.03	-0.04	0.37	1.15	1.91	0.11	1.93	1.7	-0.15	-0.21	0.63	-0.77	
g909	0.29	-1.93	1.89	0.38	0.6	-0.65	-0.34	-1.2	0.09	0.61	0.2	-0.57	0.86	-0.49	0.09	-0.64	1.16	-0.02	1.7	0.81	
g910	1.76	0.24	-2.22	-1.74	-0.05	2.06	1.28	0.94	1.4	-0.97	-0.84	-0.68	1.17	0.26	2.24	2.5	1.27	-0.28	0.52	1.64	
g911	1.17	0.38	-0.41	-1.35	0.56	-0.63	-1.54	0.73	-1.02	-1.81	-0.92	0.08	-2.13	1.71	0.25	5.23	-0.21	2.51	3.16	2.0	
g912	-0.92	1.27	-0.08	-2.97	0.49	0.09	4.27	-0.76	1.17	0.79	2.71	0.95	1.02	0.17	1.5	1.95	0.89	-3.96	-0.38	1.68	
g913	-0.84	-0.1	-0.94	-0.55	3.82	0.03	0.63	-0.48	1.21	0.76	0.39	-1.5	1.54	2.01	-0.63	-3.63	0.69	-1.04	-0.62	0.58	
g914	-0.1	0.39	-6.11	-0.12	1.57	0.42	-3.82	-2.65	-1.84	-0.85	0.66	0.56	-0.48	-0.2	-0.08	-2.38	0.29	0.01	0.19	-0.6	
g915	-0.82	2.16	0.57	2.7	-2.04	-0.45	0.1	1.61	-0.31	1.43	0.05	0.32	0.23	0.64	1.34	-0.05	-1.53	0.88	-1.06	-1.05	
g916	-2.58	-1.36	-1.59	2.5	-3.24	-1.58	-2.47	-0.19	0.82	0.98	0.05	0.33	0.48	1.93	-1.24	-2.98	-0.02	0.91	0.18	-2.94	
g917	-2.27	1.61	-0.66	-1.17	0.26	-0.2	0.4	-2.84	-3.68	-1.13	-0.63	-0.75	0.25	1.3	1.32	1.3	-3.07	-0.37	0.04	-0.35	
g918	-0.08	0.33	-1.05	-1.71	0.69	0.35	-0.41	0.4	-1.17	1.31	1.26	1.11	1.22	-0.9	-0.72	-2.44	-2.49	-0.68	-0.7	-2.86	
g919	0.99	1.03	-3.15	-0.42	-1.1	-0.87	-0.1	3.25	-3.16	-0.72	0.35	0.35	0.95	1.13	0.01	-0.76	-1.02	0.41	-0.75	-0.45	
g920	-1.67	0.79	0.28	-1.59	1.62	-0.5	-2.14	2.34	1.33	3.35	0.1	0.1	-0.37	1.83	-1.17	-3.65	-1.51	1.15	1.02	-2.92	
g921	2.21	-2.28	1.09	-1.72	-0.4	0.04	-0.15	1.98	2.3	2.3	1.37	1.7	0.44	-0.86	-0.42	1.07	-0.15	1.51	-0.55	-1.17	
g922	-0.02	1.16	-0.06	-1.43	-0.4	-1.16	-0.16	-6.13	2.63	0.8	0.63	-1.09	2.53	0.61	0.32	0.33	0.11	1.97	0.44	2.61	
g923	-0.14	-0.62	-0.06	-0.33	0.67	-0.8	-0.06	-0.63	0.23	-0.3	-0.61	0.61	0.12	0.45	0.42	-1.65	-0.1	-0.19	-0.13	0.91	
g924	-0.72	0.13	1.01	-0.06	-0.27	0.02	-0.83	-0.39	-1.69	-0.48	0.69	-0.07	-0.46	-0.63	0.37	-1.36	0.88	0.67	0.75	-1.08	
g925	-0.94	0.75	1.0	0.83	0.67	0.18	-0.88	0.66	-0.49	1.21	-0.04	-0.01	1.64	0.44	3.52	-0.28	0.52	-0.63	0.37	1.21	
g926	-5.54	1.42	1.29	0.25	0.69	1.31	0.75	2.35	-2.69	0.65	1.08	0.8	-2.43	-2.98	0.46	2.39	0.48	-0.46	-0.05	1.54	
g927	0.61	-0.61	-1.81	-4.6	-0.48	1.24	-0.04	0.78	2.06	1.31	1.28	1.32	-7.12	1.61	-3.0	-0.72	-2.15	-0.81	0.89	-1.25	
g928	-0.77	-0.28	0.17	-0.24	-0.27	-0.29	0.25	0.3	-8.78	0.37	0.0	-0.47	1.09	-0.1	0.52	-1.64	1.18	0.32	0.65	1.09	
g929	-3.5	1.85	-0.86	-0.83	0.56	1.45	0.37	-1.64	-0.25	4.04	-0.02	0.26	-0.53	-0.48	-0.61	1.39	1.34	1.52	0.55	0.98	
g930	1.09	0.31	-0.85	-0.03	0.55	0.87	0.37	2.32	0.97	0.92	1.42	1.49	-0.75	-0.66	-0.44	-3.14	-0.47	-0.08	-0.3	-1.65	
g931	0.54	-4.31	0.31	-1.57	0.05	1.81	-0.66	1.09	0.26	0.8	-0.09	0.09	-0.45	-0.48	2.36	0.29	-0.78	0.09	-0.81	-2.39	
g932	0.47	-1.48	-0.22	0.09	-0.68	0.83	1.21	1.5	1.45	1.37	0.97	1.54	-2.64	0.79	-0.56	-2.72	0.15	0.55	-0.07	-0.48	
g933	-0.24	1.49	0.68	0.59	-0.56	-0.03	-0.94	-0.31	0.03	-0.23	0.15	-0.53	0.85	-0.05	0.87	-2.28	0.23	0.03	0.37	0.64	
g934	0.46	-1.36	-1.2	-3.77	-1.86	0.79	-1.06	0.83	0.71	0.16	1.73	0.85	-3.68	1.26	-3.23	-0.74	-1.72	0.93	0.55	-0.77	
g935	1.33	2.29	0.87	-0.1	0.65	0.13	0.3	-0.26	-0.6	1.67	0.58	0.24	0.98	1.85	0.29	3.28	0.84	0.63	0.85	1.85	
g936	1.12	-1.23	-1.44	-1.43	0.45	0.41	-0.74	0.51	1.22	0.84	0.92	0.59	-5.87	-0.37	-2.02	-0.37	-0.85	-0.26	0.35	-2.6	
g937	2.24	1.28	3.25	0.98	0.66	0.2	1.49	0.1	-3.88	1.04	-1.4	-0.36	2.0	1.11	2.26	1.01	-2.16	3.58	-0.7	0.06	
g938	0.17	1.18	1.37	1.22	0.37	0.79	-0.21	0.12	5.88	0.46	0.26	0.26	3.93	0.34	-0.59	3.15	0.58	0.21	0.0	-0.13	
g939	-0.16	1.03	-4.45	-2.31	-0.15	-0.14	1.2	-5.75	-1.49	-0.84	-0.21	-1.72	-0.49	3.66	1.44	-3.61	-0.41	-0.42	1.02	-0.32	
g940	-1.47	-2.09	-0.28	2.05	0.43	-3.97	1.56	0.99	-2.33	-1.37	-6.86	-0.85	-1.15	3.24	-6.13	-0.93	-0.54	-0.12	0.07	-1.46	
g941	0.81	-1.34	-2.06	-1.37	0.52	-2.85	-1.6	-2.74	-0.49	0.53	0.21	-0.42	-0.97	1.5	1.79	-4.0	-0.74	-0.61	0.7	-2.68	
g942	0.41	-1.16	-1.57	-0.95	-0.91	-0.98	-0.03	-0.57	-1.7	-0.97	-0.51	-0.95	-2.76	0.25	-0.4	-6.19	-1.7	-1.92	0.74	-3.76	
g943	0.62	0.03	0.59	-0.85	-1.31	-2.0	-3.45	-0.97	4.18	1.2	0.87	0.73	3.22	-0.58	-2.42	-0.1	-1.66	0.11	-0.19	-0.21	
g944	0.8	-1.68	-0.29	0.25	0.73	1.41	0.51	1.23	2.58	1.67	1.38	1.17	5.16	0.03	-1.23	-0.2	-0.01	-0.02	0.0	0.95	
g945	1.03	2.66	0.74	0.72	4.05	2.57	0.85	1.33	0.74	-0.81	-0.32	-1.18	0.12	-1.54	-0.38	1.18	-0.21	-0.57	-0.06	0.99	
g946	-0.19	-0.29	-2.93	-0.4	-0.23	1.25	2.02	1.16	0.88	0.54	0.69	0.78	3.02	-0.59	2.27	1.33	0.31	2.77	-0.15	0.59	
g947	-1.12	-0.42	2.48	-2.29	0.06	-1.87	1.21	-2.41	-4.04	-0.58	0.56	-0.15	-1.61	-0.14	0.4	4.08	0.36	0.21	0.13	-3.11	
g948	-4.29	-0.73	-1.97	4.59	-1.25	-1.66	-0.23	0.45	-0.16	-3.9	0.12	0.19	0.05	0.53	-0.62	-0.69	-0.37	-0.18	-0.04	-0.21	
