g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	
g28	0.72	-5.92	-3.62	-0.39	1.57	-0.99	-0.31	0.69	0.31	0.48	-0.25	0.6	0.5	1.79	-4.43	0.72	-0.69	-0.99	0.24	0.87	
g29	-1.1	-0.06	2.2	-2.19	2.07	-0.36	-1.73	-0.11	2.39	-0.36	-0.52	-2.26	-0.06	-1.7	0.37	0.81	0.35	-0.58	0.4	-1.63	
g30	0.51	1.2	-0.7	3.14	1.27	-0.61	-0.64	0.02	-0.47	2.24	-1.79	3.11	0.35	-0.32	-0.06	-0.01	0.98	-0.94	-5.91	-0.69	
g31	1.66	3.2	0.74	-0.97	-0.97	-0.14	0.91	2.0	0.3	-1.9	-1.53	-0.75	1.8	-0.05	0.97	-2.65	0.85	-0.13	-0.07	0.47	
g32	1.92	4.32	-0.63	0.08	1.13	-3.55	0.82	0.16	0.4	0.13	-0.18	0.31	4.15	-0.94	-2.09	1.45	-0.49	0.39	0.02	0.73	
g33	-2.25	-3.38	-0.77	-0.32	0.35	0.29	2.63	-1.46	0.73	0.16	-1.31	-0.44	5.02	-1.63	-2.21	1.67	-1.55	-1.09	1.36	-1.34	
g34	1.03	-0.67	-2.74	0.29	-0.66	0.27	-4.02	0.01	1.18	-0.25	0.25	-0.35	-1.73	2.5	-0.4	-3.5	0.74	0.3	0.26	0.63	
g35	0.87	3.38	1.79	1.59	-0.41	1.85	-1.79	2.77	-3.72	-1.67	-2.67	1.74	-0.46	0.57	0.84	1.96	0.88	0.14	3.79	0.15	
g36	0.66	-2.46	-7.37	4.2	2.05	-1.6	-1.67	-0.23	0.46	-0.82	0.95	0.39	0.27	-0.66	-0.81	-0.43	1.06	0.28	1.84	-2.48	
g37	1.23	2.13	-2.38	0.28	2.3	1.12	2.57	3.62	2.98	2.84	2.96	2.9	-2.12	2.65	-0.56	3.14	-1.62	-1.02	-0.59	0.58	
g38	-1.84	-0.43	-3.15	0.29	0.84	-2.55	2.35	6.6	0.47	0.71	-0.59	0.23	-0.07	0.01	0.02	0.53	-0.26	0.94	0.0	0.57	
