g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	
g151	-5.227556884294845	-3.1198224332276934	-3.1148971410653292	-3.1198224332276934	-3.6026132075428436	-2.565758766748064	-3.1198224332276934	-4.105044549702943	-3.4392459221226934	-6.194955238629597	-3.0588936890535687	-3.1198224332276934	-3.1198224332276934	-4.417347659966045	-5.027498492778034	-4.868036661407531	-4.661273242852134	-3.159718058573056	-2.795859283219775	-5.404458148208169	-4.97226031117142	-7.744835280195308	-2.668409424133763	-2.7926056791119485	-4.770830488728253	-4.682572194210703	-4.307037841220783	-2.0110063596570185	-2.1975999598851605	-2.105938940740642	-3.1198224332276934	-2.1610704684797057	-3.1198224332276934	-3.1198224332276934	-1.2169205701263883	-5.402016006210054	-4.633792506430027	-3.1198224332276934	-2.6626965813744405	-5.073879096450156	-0.8127389951583031	-2.4015099840018888	-0.6652029248661147	-5.897113473996989	-2.3755715232537282	-1.1867215954566879	-1.479150349591925	-16.833209579295776	-5.741589620691654	-1.7273795453370082	-2.890037746601182	-3.1198224332276934	-4.87874582789514	-2.6556259667142674	-7.014569520241368	-3.1198224332276934	-3.1198224332276934	-5.5853614504146325	-3.1198224332276934	-3.157141816744023	-3.5624841000819902	-3.1198224332276934	-1.9539979534554797	-3.1198224332276934	-1.3411715756563463	-5.836507391836353	-3.49720096765526	-3.1198224332276934	-3.1198224332276934	-3.1198224332276934	-4.044062337652483	-3.1198224332276934	-3.1198224332276934	-3.1198224332276934	-5.383830533813269	-3.1198224332276934	-3.9336405903758687	-7.677130421056918	-3.1198224332276934	-1.9770995978899213	-3.1198224332276934	-3.410259823009735	-2.662003536484984	-3.2419527181667664	-3.1198224332276934	-28.210292165646372	-4.119174328544061	-8.670649035661269	-2.8089427600736863	-2.5038956202292675	-5.057437876800321	-3.3294496822199053	-4.848504824608166	-3.1198224332276934	-4.495572827271547	-3.1198224332276934	-3.0162493516450746	-3.1198224332276934	-3.2243172982609405	-3.1198224332276934	-4.931040335337353	-4.008333948314972	-4.934565554051367	-5.433467325329322	
g152	-3.4704419071039307	-1.950090477556942	-1.6112413684364568	-6.620955787664646	-3.6607257651246523	-2.8808952843565914	-16.453628557820906	-2.15072126746922	-3.172329407231769	-6.16237308681389	-1.1152848709039669	-2.549620119928959	-3.172329407231769	-4.295208360483364	-3.385337265063424	-3.172329407231769	-1.3382504001892952	-3.359840137389085	-4.867227552553015	-1.075824085003446	-2.057091446419583	-3.075824085003446	-3.172329407231769	-1.6389054298236796	-3.172329407231769	-6.032117235364944	-3.172329407231769	-3.172329407231769	-1.7264244343846202	-4.4408647735682365	-3.3937473936670575	-2.73347950346329	-1.9584675942365632	-0.7007284969728664	-2.329599153095191	-1.3351173145029094	-6.901246286680139	-1.9029205587915783	-7.599508848636988	-2.2238671524720606	-2.7729983254109625	-0.4135588235806553	-0.9457637054613443	-0.6257116608309687	-1.439742637687132	-1.755110339966705	-0.8100906060220746	-3.172329407231769	-3.170259235889044	-3.172329407231769	-4.048995295823897	-2.269512200736224	-3.172329407231769	-2.4245552714183414	-3.6449386170163653	-3.996771977145771	-6.20237271019208	-1.4926906660445787	-1.971430847803229	-2.5597919249862504	-1.7046412608395007	-1.1228054528737617	-0.9001536145509381	-1.0983747088256677	-2.807275866701518	-3.172329407231769	-2.6278171495663734	-4.767290131023004	-2.4807257207063897	-6.315836858408668	-2.909619106827063	-12.487207073748635	-3.187126032296648	-1.7314269258744732	-2.5202505380909717	-2.712094456128546	-1.5899796979323488	-2.4547571061876794	-2.3371564825019373	-3.172329407231769	-3.4801964514048653	-3.741010806224155	-3.172329407231769	-3.1746229955775807	-4.4151913949577875	-3.9653978262374956	-0.8054085972262663	-4.00593666299906	-4.052456815795432	-2.633971878784476	-3.9529693078114247	-3.172329407231769	-3.3954731603432826	-9.458877730081396	-16.447935262635358	-4.300164120595706	-4.244754704869127	-2.7427479467602125	-1.080087911322692	-2.023856359953367	-27.339085219930528	-2.282789700980404	-3.754874457197147	-5.328040010371401	
g153	-5.466772869737146	-2.1309972353247475	-2.4191283261885737	-3.462841856472094	-1.068241312155092	-6.367657324742483	-2.677610316549785	-3.080698059371917	-6.144074069627413	-2.3175334443044697	-3.594051194039419	-2.1379652600447674	-1.8825709164131057	-3.7402394146587175	-6.574841511859545	-3.3778192957794078	-3.544224339760264	-2.491672770719679	-1.6465637821382169	-3.4832586438941697	-2.302411552959305	-2.5220118918983485	-2.4270614895287816	-3.0291463456595165	-2.0421596732937677	-2.486812479629145	-4.101426490112804	-2.4270614895287816	-2.4270614895287816	-2.924672749292935	-2.919554565285294	-1.87514253274424	-2.2358237236440717	-1.443398918346153	-2.691522623405039	-1.9094175236375577	-3.0528949484321255	-1.6868702651621483	-1.6500922922501426	-2.168771306825942	-2.4270614895287816	-1.1971062174383535	-2.497363882797535	-3.221623189091677	-2.4270614895287816	-1.9356689537540162	-3.5851933503961653	-2.4270614895287816	-3.4608489865398435	-1.7065117976244923	-2.4270614895287816	-2.4270614895287816	-4.634150717491058	-26.1212488659131	-2.4270614895287816	-2.4270614895287816	-2.4270614895287816	-2.152644433771633	-8.948574994629864	-3.786017797102926	-5.026557706933879	-2.4270614895287816	-2.4270614895287816	-2.4270614895287816	-2.4270614895287816	-4.7419756260560675	-2.4270614895287816	-3.3757212658498346	-2.897382346514095	-1.5211834709505851	-2.836096874428267	-4.020925838854548	-2.4270614895287816	-2.4270614895287816	-2.4270614895287816	-1.9252205735033867	-2.4270614895287816	-2.040299232794268	-1.3834540967489315	-2.6099927379084407	-0.7507367139388066	-2.4270614895287816	-2.4270614895287816	-2.98051157040864	-3.9485304456931503	-1.6312875162716691	-2.4270614895287816	-7.024490135027689	-2.4270614895287816	-3.15200309344505	-1.8467567868324894	-3.9131670543188317	-2.4270614895287816	-2.4270614895287816	-2.784024881733326	-5.432843996289213	-5.043876351015093	-2.4270614895287816	-2.4270614895287816	-1.5294891648227247	-2.4270614895287816	-2.782893391916608	-2.4619585466663363	-2.855170479161191	
g154	-1.2663958245143487	-3.3701911149175308	-2.9456377115503107	-2.4227524644068494	-2.293561867611543	-1.6910567118747866	-3.097887820669432	-2.2615915481905744	-2.293561867611543	-3.349895666023844	-0.5992434968167487	-2.293561867611543	-1.7273795453370082	-8.819780833523163	-3.1090475285429777	-5.231345618524919	-8.959306720590883	-1.6086721931563885	-6.384433037493309	-2.9627551735265345	-2.6909593245167787	-5.033698874758103	-2.293561867611543	-2.293561867611543	-2.293561867611543	-2.293561867611543	-4.604366817872874	-0.40182538785199273	-2.293561867611543	-3.1603456849261127	-2.7968615028091515	-2.6474674433271037	-3.185736708600219	-4.042159673293767	-2.5119481280489193	-2.293561867611543	-2.293561867611543	-1.0256611851416382	-25.009827583244675	-2.7226103011891363	-4.086323562124063	-2.293561867611543	-2.293561867611543	-1.0639924074999594	-2.1036928457631934	-1.261222921462524	-2.627716487119472	-1.822656211718274	-2.293561867611543	-2.293561867611543	-2.252225928257295	-5.9233902401776355	-1.4152954607996766	-1.890037746601182	-2.2834919132312543	-1.0182934498083527	-1.8468432119385796	-1.5898237314797665	-1.4404785430749953	-2.4548223653847074	-2.9930916306578226	-2.293561867611543	-0.3120435059555183	-1.0877333719335502	-1.2611889370296836	-2.029735320985471	-2.293561867611543	-2.7023191183152515	-3.1163850782317337	-1.9977644051475696	-2.391116133412058	-1.5307173540436043	-2.278583590010193	-5.6590845773893	-2.293561867611543	-6.056011180520447	-1.1975999598851605	-2.293561867611543	-2.293561867611543	-2.293561867611543	-4.27508784068439	-1.7107557148433576	-2.293561867611543	-5.9434164716336335	-2.4406550334581136	-0.6095524220066896	-0.800626039278179	-5.011949113732673	-1.825721428963878	-2.293561867611543	-4.111278058824117	-0.7216583413783576	-2.293561867611543	-2.293561867611543	-4.059615216971028	-2.293561867611543	-2.4274013246299675	-2.293561867611543	-2.293561867611543	-2.0782590139204995	-1.5396141423156986	-3.2446850959549023	-2.423526234895169	-5.972109922911502	
g155	-7.428239712697513	-2.0421596732937677	-5.429349020419416	-5.066693255049067	-2.6441177256571287	-7.952143373992701	-3.156362191119584	-3.7895004617224073	-3.004262516965196	-3.3321633763228835	-3.8810821766500965	-3.092823722713274	-5.16239946441296	-2.627716487119472	-2.206228941455776	-3.344464983647896	-3.004262516965196	-3.0174170530774096	-3.6555080778535327	-3.004262516965196	-3.4964326140021607	-2.4430558880118056	-1.9269635582640168	-4.671898854359717	-3.004262516965196	-3.004262516965196	-3.004262516965196	-4.3612288203530145	-3.004262516965196	-3.004262516965196	-3.004262516965196	-3.107008609638411	-3.004262516965196	-2.4363392012397975	-3.235144328745296	-3.229720656790274	-3.004262516965196	-3.2722973271627622	-2.4219791086976907	-3.004262516965196	-10.066630244011112	-0.6843747166464759	-1.6716230659673343	-2.539519529959989	-1.4004917640810643	-7.854085212464667	-4.398616049728518	-33.03024712448361	-2.6915058181004454	-3.004262516965196	-3.004262516965196	-3.004262516965196	-3.004262516965196	-5.516222910048851	-3.6142628187849817	-2.8920744867960204	-3.5734205624575637	-3.004262516965196	-2.2001392493174534	-5.066608654181574	-2.4859472732473487	-3.693876260500209	-2.7227055546547994	-2.782541543087523	-1.1582448884625736	-4.2795639196393545	-3.004262516965196	-4.184128271438128	-5.111879893417548	-4.305322593957854	-4.881720019873613	-2.30705903982924	-3.8610282976998307	-1.6631165049395256	-1.5051236200544857	-3.486067097222335	-3.0053324723934915	-1.4864118178703052	-2.6325371819734515	-1.5730912578548226	-2.881089756079081	-3.7413703698458085	-5.861502001050733	-3.004262516965196	-2.948745094334714	-2.4731424121230594	-4.181018588345701	-2.9321645062202064	-1.6228207102633614	-3.4145977613923577	-3.289877102363725	-3.3544405590189497	-2.114274961706316	-5.332187953608961	-3.104076998076231	-3.6219539810341654	-3.004262516965196	-2.1766394565805016	-3.004262516965196	-2.1824585998485664	-1.0344557997682955	-3.1328942704973457	-2.6170561304310094	-3.670576372175347	
g156	-3.4249856264345038	-2.886816391120793	-1.481389923456994	-4.298098796251575	-2.886816391120793	-11.891262151798708	-2.179671357110902	-3.5633190978496265	-2.886816391120793	-2.6877406439401774	-2.993716521357557	-2.886816391120793	-5.507440425317713	-3.488754631649022	-3.978918312332973	-5.087247147466897	-1.9296106721086022	-2.5897837321065222	-2.886816391120793	-2.890037746601182	-4.258247967273655	-3.3136126606913248	-2.886816391120793	-2.781900825629855	-3.909462722241116	-2.886816391120793	-2.886816391120793	-16.982547853596902	-2.886816391120793	-2.4694854593751923	-2.197545185639098	-2.09140678737321	-2.8271923620832577	-2.857259827883918	-2.2476052368145703	-2.6129378554914418	-2.9157310648783303	-4.203369465834317	-3.1674745022074897	-3.170672061227297	-4.374523760040562	-2.886816391120793	-2.886816391120793	-4.46021088438007	-2.1681227588083267	-2.151753724859376	-2.2674268787048018	-4.403798575602443	-4.754382647243616	-4.429363058375386	-3.4702342696858635	-2.886816391120793	-2.886816391120793	-2.886816391120793	-8.463963019241177	-4.328304048591787	-2.886816391120793	-2.5403585500713883	-2.8983206525547494	-3.72470682648705	-3.250165425587271	-2.9812115134801873	-2.886816391120793	-2.886816391120793	-2.886816391120793	-4.946082370219539	-2.886816391120793	-2.698707019207509	-4.962631835995165	-5.107339400401269	-3.9514707027553175	-3.1613821461941995	-2.886816391120793	-2.886816391120793	-4.904762327570564	-3.459917757844159	-4.605808716316356	-3.2095615718147994	-4.229450007686977	-3.648190780038616	-2.8538211443841583	-4.047304343826958	-2.8620673723222785	-2.886816391120793	-1.8588288275392588	-4.4835813583661315	-4.120796127979475	-4.325973306945311	-2.886816391120793	-2.886816391120793	-3.5356134562976287	-3.20544533722837	-3.739853873491033	-4.684086034563258	-2.611383396340422	-4.372980420472625	-2.9553003257039774	-3.378305219515016	-4.186787278492547	-2.886816391120793	-0.9252205735033867	-4.80893920352106	-3.8953949567706894	-3.8266422655163983	
g157	-4.318985237334622	-4.341633216672787	-2.0180012584066676	-3.5734581722333933	-7.451877498319205	-3.0034666297197794	-5.753214945811281	-4.134080662230402	-1.7983661388303496	-1.1319454411037966	-2.510567345841914	-2.510567345841914	-2.510567345841914	-2.510567345841914	-2.510567345841914	-3.5789733381898703	-2.510567345841914	-3.5040592931593757	-2.3473987824034803	-3.8219288162352436	-2.510567345841914	-2.510567345841914	-2.795767450839479	-2.2252646201615094	-2.5465481773964784	-5.273691909234515	-1.484388460507959	-2.510567345841914	-0.16617886220941766	-3.5492822917946705	-3.1739702135002617	-2.510567345841914	-2.6961900329787145	-2.1861932940258066	-2.510567345841914	-4.2125006682012085	-2.285580197250079	-2.510567345841914	-4.05074149329011	-2.510567345841914	-3.153668480987455	1.1450386388740517	-3.336281945170113	-2.782893391916608	-2.3147325934831584	-6.884444657210149	-2.6223764623642736	-2.942696802438529	-2.510567345841914	-5.505673369301694	-2.510567345841914	-2.510567345841914	-2.070723117257932	-1.7390348190704177	-2.819662386484064	-2.656057333328968	-3.790161989846901	-1.7706331239685422	-16.08238986634553	-5.109112508976223	-2.510567345841914	-2.5905291828604353	-5.353431785909425	-2.4784024551731076	-2.510567345841914	-2.8171748407728163	-2.2429913417261775	-1.483177976554224	-4.299748998296593	-1.965220841951981	-2.815021540306669	-4.8757777547582695	-2.610873773075296	-1.3712703400484472	-4.971488307686929	-2.9247918546545804	-6.158174727713842	-4.587226978401216	-2.5474451604927997	-2.510567345841914	-2.458153427496879	-2.510567345841914	-2.2834919132312543	-2.510567345841914	-2.510567345841914	-26.089997931928657	-4.492322048426808	-2.510567345841914	-2.510567345841914	-1.7587699644845547	-3.1534474901006133	-4.238298258833806	-0.3261463483748352	0.06551630706576968	-0.21798085017201876	-0.7913482564523009	-0.5605830275030556	-0.3170957451309713	-0.9758644930700201	-2.510567345841914	-1.9386988544920287	-1.5362301797265967	-0.7518743258285273	-1.3222779876722621	
g158	-1.647015541979356	-2.366054731673185	-2.366054731673185	-7.327478707854995	-2.097887820669432	-4.595968860378175	-2.6831591504704124	-1.3621579396758952	-1.3917584867372812	-1.839079811818897	-2.366054731673185	-2.99079617267016	-2.7543826472436157	-2.366054731673185	-3.561494220217251	-2.621493840227471	-1.8262329322632938	-1.6139616401113865	-2.366054731673185	-2.366054731673185	-2.366054731673185	-1.8426975336810263	-0.3179661287349404	-2.356975041986563	-2.366054731673185	-3.8705929076131333	-2.68576848248787	-1.5278241963276145	-1.9618447989740313	-2.291945228671648	-1.7413001844300973	-6.820432899089467	-1.613520111403766	-0.4793514641166652	-3.6950684767878252	-2.366054731673185	-2.366054731673185	-2.366054731673185	-2.4516676371315214	-0.9553697397593534	-2.366054731673185	-1.8069221784536331	-3.9773268118506855	-4.1597180585730555	-2.366054731673185	-2.366054731673185	-2.366054731673185	-1.2615347826602237	-2.366054731673185	-1.8489205269711884	-4.706888529586651	-2.366054731673185	-2.4370562292712568	-3.2068948519411222	-2.4924844135207715	-2.6253578244612603	-2.8666995237702233	-2.366054731673185	-2.366054731673185	-2.6610907271910786	-3.593438726517458	-1.6780719051126378	-1.0427539863983157	-3.880232157452793	-1.812485601807184	-2.1360332572103733	-1.4516327207429414	-1.544981903030275	-2.366054731673185	-1.9539233489084729	-1.856787833793392	-1.6606398745856343	-2.366054731673185	-2.366054731673185	-6.1562472777917785	-4.209294677902117	-4.394245765002311	-1.366615291442657	-1.093263300070425	-4.2323476507344955	-29.529981788337732	-2.3974481025283403	-1.6483957726900735	-4.934565554051367	-5.939046129903371	-2.093571140686314	-1.4786655054628475	-3.3061450976464353	-2.366054731673185	-2.366054731673185	-3.0746081599075423	-2.366054731673185	-3.6029080623853718	-7.035046947099201	-2.9072513144604764	-2.366054731673185	-16.575085001407004	-1.7018109298586779	-5.696003046387708	-2.366054731673185	-0.6686387327317006	-2.366054731673185	-2.366054731673185	-2.441438468199543	
g159	-1.5989588262427292	-2.050283695797663	-1.455613533510315	-2.1616532634787693	-2.4100271491957734	-2.9866239318550365	-2.050283695797663	-0.8416629728328994	-3.9518754391714483	-3.1309353736574286	-0.6034020684251004	-2.3527310505063337	-2.1584293626044833	-2.3742052347491	-2.5203555254237644	-1.9143034193207538	-1.6724612784276651	-0.04677201634135119	-0.8596139677169438	-1.204233052217608	-2.4100293702166176	-1.395803800104662	-4.2620192120860985	-1.9805115704086398	-2.006941609418847	-2.25773503295987	-2.050283695797663	-6.572093520474634	-2.050283695797663	-3.116535581897678	-2.050283695797663	-1.5781977188427339	-3.2976084156919496	-2.365127976835786	-3.457672603468622	-2.050283695797663	-2.050283695797663	-1.9674818920079375	-2.686008922394445	-2.050283695797663	-2.050283695797663	-2.050283695797663	-2.050283695797663	-2.050283695797663	-2.050283695797663	-2.050283695797663	-2.050283695797663	-0.8260139053279993	-1.742265197871355	-2.050283695797663	-3.6863682680682053	-1.6206008374744216	-0.9272275774750687	-2.0121407139853895	-3.235144328745296	-1.1043314349692979	-1.9635318329307083	-1.5097679034523823	-4.095419565078683	-1.619824556244625	-0.7432340103525243	-1.4123469789076786	-3.8107637063035122	-2.2997378552532965	-1.92631684638356	-2.050283695797663	-2.050283695797663	-2.3963504182284234	0.15185881672700494	-1.5646831314252467	-2.2674268787048018	-2.0185857004000316	-2.843374194527499	-2.825210106952185	-4.419507152572012	-1.8645964694023487	-0.8481411832729951	-1.147841316336962	-2.050283695797663	-2.050283695797663	-1.394410848688886	-4.520189993320905	-3.038598926835721	-0.7653760586361442	-10.683641055880589	-2.8378864062736247	-3.638456202032135	-5.069673829119744	-2.8028894852873036	-2.050283695797663	-1.9310830028920258	-1.3371564825019373	-2.050283695797663	-28.14889162098223	-3.734851191622686	-2.050283695797663	-2.050283695797663	-2.050283695797663	-3.2722973271627622	-2.050283695797663	-1.6565412027148132	-3.289121949804121	-4.931920832795804	-2.050283695797663	
g160	-3.096851993273707	-4.468491275999296	-4.865499727630291	-15.158460876934495	-2.368849142274855	-4.855588106907888	-3.211450490898797	-3.2515387669959646	-1.2422939825186565	-6.737427330461038	-3.8171423520147543	-3.096851993273707	-3.096851993273707	-3.2198246043130556	-4.824734332358405	-3.67175475091682	-3.7114170032212535	-2.9270970181159317	-3.096851993273707	-1.7863727614880527	-4.12243484260478	-1.8889977795793713	-1.8574716913821532	-3.0414175614999817	-2.399730246490995	-2.7388904710906985	-2.8793826387820585	-9.163384244547249	-3.096851993273707	-1.6206008374744216	-5.486165676192671	-4.537275105093604	-3.096851993273707	-3.2175914350726273	-3.096851993273707	-7.376500177990837	-3.797463168922365	-3.096851993273707	-3.096851993273707	-2.811978948583052	-3.096851993273707	-2.277184273662965	-8.656608097183572	-0.9649392030948858	-3.096851993273707	-2.0929555251272016	-3.096851993273707	-4.799068839695665	-2.346664773208869	-6.914238165084161	-2.0017322736212373	-4.115729175207759	-4.952356043330605	-5.663022302173216	-3.6682260034939014	-2.649276465558978	-2.7668947004595843	-1.9023892033735776	-1.6034020684251002	-6.937395422540289	-1.6330763510214819	-4.702374225905746	-3.096851993273707	-3.096851993273707	-0.29341432508684123	-3.5796631278472324	-2.097270360766624	-3.6443534146297125	-16.89816339047346	-5.580353247468567	-2.9525346666500583	-3.291689241783382	-2.0770410357638283	-5.487444387975966	-15.484170295799975	-3.229720656790274	-3.096851993273707	-3.096851993273707	-2.192315356756893	-1.3553191603029786	-3.096851993273707	-3.95981583705609	-3.096851993273707	-2.608232280044003	-1.1530593492119097	-3.096851993273707	-1.2145749964390669	-1.9756454220898523	-1.9540539390030895	-3.096851993273707	-4.018346610299377	-2.0150825945730797	-4.665660560093073	-3.3165578651658736	-3.8103588529148897	-3.2243172982609405	-4.069148050926756	-3.2452459173127792	-2.3541638685844792	-3.614756732465977	-5.492448677455123	-3.5129253199482764	-3.096851993273707	-3.096851993273707	
g161	-2.4695919458276734	-5.744778972348997	-1.7169079418249527	-2.5214720420944032	-0.6728875598078105	-2.367358809007556	-2.367358809007556	-2.187050040544251	-1.4671473104142507	-15.029470784397688	-1.3509784114679497	-1.6321302518253218	-1.903852609237716	-3.302171056119453	-2.367358809007556	-2.102768060941402	-1.5109603054083771	-1.4477213090095638	-2.367358809007556	-3.2108967824986188	-4.117272956691	-3.6166487787389086	-2.5006260549978325	-3.239051813330039	-1.8592731352810514	-2.367358809007556	-13.797882603691537	-2.367358809007556	-2.367358809007556	-5.085588555718989	-2.367358809007556	-1.572947469613086	-1.4599727307424928	-1.3894889083338915	-3.412828051601588	-1.8131835776119967	-2.537005393324501	-3.1267135511729807	-2.367358809007556	-2.367358809007556	-2.367358809007556	-2.367358809007556	-2.367358809007556	-3.9921469971064334	-3.561153600444475	-1.158429362604483	-3.0139167803351854	-3.380530991038519	-0.6788987782092306	-2.143643620822976	-1.7613992275926984	-15.570041886351067	-2.2402308075566197	-0.8977505342701766	-1.039282465473675	-0.9965416802275889	-0.2503370217862112	-2.8099051611729218	-3.2074955723281295	-3.4983846135657455	-2.2269048985132867	-1.5181388958597992	-2.0041110237196076	-1.5857828524073163	-6.00858095451515	-3.0968870720376924	-2.367358809007556	-1.0323666985865854	-2.491672770719679	-1.0050547089736306	-3.4769602525008345	-2.9419421592645465	-5.302684381576158	-3.0978391763600905	-3.8505845352766417	-1.8246758801763303	-1.6236253348681322	-4.351663415872834	-3.1024990414220635	-2.367358809007556	-1.8566768379261003	-1.1266341446638601	-1.9426259836442683	-7.304034684851382	-3.123528791411074	-1.5193603807969431	-2.0040452120579486	-4.673677894264657	-2.367358809007556	-5.23943468196696	-2.5059366884450895	-2.367358809007556	-2.367358809007556	-2.7083964419694353	-2.367358809007556	-3.4993203008271134	-2.367358809007556	-2.367358809007556	-2.367358809007556	-1.255322210682926	-4.281546877892766	-4.6234428872305395	-2.367358809007556	-2.367358809007556	
g162	-2.4311308238311238	-6.553628837954713	-2.7036894392919075	-2.637820641261381	-6.240043128158135	-4.538042228793172	-2.97029976578458	-2.4311308238311238	-2.4311308238311238	-3.4245438749017385	-3.155748469797745	-3.658968734674243	-1.075824085003446	-2.9190274119614776	-2.5942254220501244	-1.7675848292245981	-3.5191299014695345	-2.712173132714919	-2.4311308238311238	-4.29333991778196	-2.2782788955923783	-2.4311308238311238	-2.4311308238311238	-2.4311308238311238	-1.9252205735033867	-5.894536465200645	-2.982392352051063	-2.4311308238311238	-0.8391197764606906	-4.68001219141225	-2.920297628302622	-2.272279145979904	-2.4311308238311238	-1.8458056750072105	-2.4311308238311238	-5.974829424265094	-2.291238890816222	-2.120606294237514	-1.5929192245494992	-4.941427716006045	-0.9305810511174886	-2.4311308238311238	-3.7273909346250846	-2.4311308238311238	-4.766057729804194	-3.9878175270426093	-5.426005092963593	-2.3001006042511296	-2.363053347645732	-5.84369533355757	-2.1780807957755655	-1.1796527140683952	-1.2321068449360355	-2.141011154079331	-3.984642509043172	-2.703499973461844	-2.6003366961119827	-2.4311308238311238	-2.300448367476911	-3.0528189439856526	-3.1007367082488453	-1.5061453223872563	-2.4311308238311238	-4.271985245309275	-2.4311308238311238	-3.026141041444916	-3.0362299689292374	-2.863573071160014	-2.70819348789547	-2.4311308238311238	-2.663851948444115	-1.6970983300129876	-1.9584766378156495	-2.4311308238311238	-6.302975407622297	-2.94316349179623	-3.2343686972485126	-2.455596386313392	-2.0145025136763106	-3.1456053222468996	-2.599462070416271	-3.715496164476564	-1.123871646524543	-2.4709606926814995	-2.2955051924486987	-4.384499351665836	-1.9232858601014153	-1.7047609784151754	-2.619354503469203	-2.344464983647896	-4.312486886907969	-5.581035928404388	-2.4311308238311238	-3.882145405411381	-3.4390894391201114	-2.4311308238311238	-2.4311308238311238	-2.4311308238311238	-3.0067640245388816	-3.3621150788705942	-1.9562355576898298	-2.2175939318990845	-1.4591791690938325	-3.470301537947802	
g163	-1.9459505423801309	-2.651994259218402	-7.1987651749306805	-4.228427606388018	-4.551121116741254	-3.5293967712313594	-2.7178567712185013	-4.107692156868234	-1.1946249891052318	-3.397381625714022	-2.7489058341859822	-2.8629767597464375	-3.9426539366991418	-3.3646820812856784	-2.979464728834355	-1.1306813051710953	-2.3599009618353834	-3.417655961076501	-3.513531886736775	-4.361851840273457	-2.4707496227265957	-1.9930329650618497	-2.8629767597464375	-10.685394164584096	-6.513048420214075	-2.1831136259850803	-2.8629767597464375	-4.848920526971188	-2.8629767597464375	-1.922422686719798	-2.518798960063952	-2.8629767597464375	-2.7629447934926255	-1.201244386085381	-2.8629767597464375	-3.435188145022015	-3.224899702152717	-2.9378760008266402	-2.8629767597464375	-2.8629767597464375	-2.8629767597464375	-2.8629767597464375	-2.8629767597464375	-2.411963028129394	-2.8629767597464375	-3.062504942605947	-3.2229696147991937	-2.344464983647896	-4.009960043855647	-5.753993308409546	-2.8629767597464375	-9.346606068603018	-2.1694201465224596	-3.967971363762686	-2.8629767597464375	-2.8629767597464375	-2.8836352433082153	-2.4404676447212164	-2.834253139819693	-3.549620119928959	-2.6241670765249534	-1.5143387704697024	-1.6447581560691176	-16.727927888081965	-2.8629767597464375	-5.149402519817812	-4.960380381481794	-2.6429795370872995	-2.297510781647081	-2.54322700435371	-1.8211260418302049	-5.473085303397266	-2.7896047425202326	-2.296767104583915	-2.8629767597464375	-2.642479055137814	-2.8145547826408026	-2.2558127519182345	-2.8629767597464375	-4.27322895147351	-3.420897106687771	-1.3055028992456443	-2.3394467643967274	-3.0370661547979787	-3.9184778735064487	-1.8162199936128653	-4.920953051214275	-3.07747130595212	-4.174891182276943	-16.783119640474137	-2.7547333622376127	-2.101037638979557	-2.8629767597464375	-2.8629767597464375	-5.69790981546537	-2.8629767597464375	-3.0800199483433177	-2.8629767597464375	-1.7680761267062366	-1.3032939207483114	-1.944144663249854	-3.564734125340725	-2.5291554789804027	-5.703077914463694	
