,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
g1329,3.792201493733145523e-01,4.241512714554903085e-01,2.069567109992956899e-01,1.588523957498323425e-01,1.576906118465793150e-01,1.845017081581418195e-01,7.536048215377482151e-01,1.542236776292390255e-01,8.987366538596312793e-02,1.135661752300871213e-01,2.938212440147868199e-01,1.150670669008616170e-01,5.482746561348255110e-01,2.051405846646272568e-01,1.866816133686131640e-01,3.641489233375697632e-01,5.198583204463907981e-01,1.518773718677029205e-01,9.990821551138792667e-02,3.884882837403092481e-01
g1593,6.845477132073580773e-01,8.068866440636922599e-01,4.154177275948355841e-01,3.308359556873967655e-01,3.657899164831295846e-01,3.219975615670683800e-01,1.451469345022324386e+00,3.398501287428981055e-01,1.660484560399301812e-01,1.975487130422192150e-01,7.406323827421891215e-01,1.736014507824775177e-01,1.078193464183247574e+00,3.615370152297283646e-01,2.334107673434692165e-01,7.223012586264673240e-01,1.085843674574243023e+00,3.204817921335159081e-01,1.893567203495554740e-01,5.804028835652420559e-01
g2126,4.081664703088658808e-01,3.185671036650129517e-01,1.698841814971389363e-01,1.476715874140762663e-01,7.342492839996554721e-02,2.101779209443359886e-01,3.452969241913041443e-01,1.437494444695250062e-01,1.184282459822722511e-01,1.311619221291406567e-01,1.654934556868582485e-01,1.893347796955755780e-01,5.411166514464725852e-01,1.570780535339153239e-01,1.965587233557472835e-01,3.081673854475698859e-01,5.890866394711772314e-01,1.847319012443187636e-01,8.090135431975953306e-02,3.805888748811855904e-01
g2132,3.056157880491454648e-01,3.351532525110081928e-01,1.577332573921887970e-01,1.740497689134128390e-01,1.507903596041721417e-01,1.754029243485795975e-01,6.412548766613017648e-01,1.780099873513698583e-01,8.270081855009808747e-02,9.148987927009397114e-02,3.462206186689403831e-01,8.379456552550494652e-02,5.222258119786591379e-01,1.278714568626403980e-01,1.048787840269435195e-01,3.164983487081576286e-01,6.913504849690060849e-01,1.565304999037599731e-01,1.041512810227753494e-01,2.583967682803574584e-01
g2195,2.670313716405379179e-01,2.816579528302816104e-01,1.339105410082736258e-01,1.040435147704712321e-01,8.837886810006015392e-02,1.348502158894080150e-01,4.872881839038315510e-01,9.762333644584914039e-02,6.423252775509032120e-02,8.213456317579370669e-02,1.589282082063440127e-01,8.549078599266740630e-02,3.493542510970343296e-01,1.413511569156931935e-01,1.530776591283936616e-01,2.392847584031049801e-01,3.499492157386938640e-01,9.550424993418635267e-02,6.913434132045849501e-02,3.053145032728379893e-01
g2518,1.492083190346269461e-01,1.819515195940767938e-01,7.021309972354432272e-02,7.155376500668894635e-02,7.145708863042443681e-02,8.523543109034163734e-02,3.916530638403680209e-01,6.591799305471188197e-02,3.361050854461666848e-02,4.507054093550805912e-02,1.260463507553718498e-01,6.899266110578138045e-02,3.322800142028830006e-01,7.814308398248379084e-02,8.226189623083655922e-02,1.485669534660020719e-01,2.800968198625607419e-01,7.636945859563154526e-02,4.955105015298325033e-02,1.273276199219357252e-01
g2739,2.177341289281735648e-01,2.090251010077312233e-01,1.058054403886847517e-01,8.869404776915620903e-02,7.326023156556016325e-02,1.083813955752230829e-01,3.136753049388315562e-01,8.759478990236205243e-02,5.810535601894491198e-02,6.697048922282877736e-02,1.470229266228756382e-01,9.340489643009577958e-02,3.500355137270191319e-01,9.735153147682756858e-02,9.301985558967154621e-02,1.912273366334456270e-01,3.284652463155741664e-01,1.066000408803400024e-01,4.979327770300604611e-02,1.805413555770432332e-01
g3047,3.662989435984900788e-01,3.628024805008407960e-01,1.952309715148120017e-01,1.419381899174877726e-01,1.097822366633662561e-01,1.766991167309147071e-01,5.488375625902985888e-01,1.396113868351517850e-01,9.299233628278164021e-02,1.125837636412369142e-01,2.238445155888459936e-01,7.523183062317620462e-02,3.116425259288737593e-01,1.886517053217653395e-01,1.941225354695898797e-01,3.250146297893369840e-01,4.454708449340963328e-01,1.088120722029586596e-01,8.878124920045475654e-02,4.608596548289070061e-01
g3393,5.209817168501815754e-01,4.817043244552858816e-01,1.887247104971940259e-01,2.591293427041093111e-01,1.221701322928418210e-01,3.430793869265017504e-01,9.215966624389045903e-01,2.431825953109054139e-01,1.448989175260032847e-01,1.698791158719253347e-01,3.041000806155094716e-01,1.657158642649463332e-01,6.894214766588403487e-01,1.998888576063460598e-01,3.296780009547319312e-01,4.407650796146185268e-01,1.145147653612994310e+00,1.918393389732135357e-01,1.838866590470970563e-01,6.601352437843813759e-01
