,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
g1329,1.620154672465702050e-01,2.179435281904871791e-01,3.728775123758357735e-01,3.779672507860066255e-01,4.699116564635301696e-01,2.795005452222688036e-01,7.503240848153118758e-01,3.424376547628288359e-01,3.067902988514675799e-01,2.107317888751310264e-01,2.440592729473710643e-01,8.492148754461383009e-02,3.935772387681996110e-01,2.492137355023562317e-01,8.573354304724370989e-01,1.012678925857534384e+00,1.783837480519148977e-01,1.062833818805180019e-01,3.471546647617190784e-01,6.333233005107150593e-01
g1593,1.436041249916168994e-01,2.402852690335272601e-01,3.199694057020295301e-01,4.197425143097026079e-01,5.994177161168149359e-01,2.909464779210482743e-01,7.932034752999834737e-01,3.993173569652811450e-01,3.348575023775258175e-01,2.326944446701323388e-01,2.633892229698079346e-01,8.614057029159712109e-02,6.713005255185222619e-01,2.441232105610626757e-01,8.605049141920937394e-01,1.046222250338755266e+00,2.070672423251485594e-01,1.004366759987408986e-01,3.554697951673507217e-01,6.539569130404263575e-01
g2126,7.553885385854994250e-02,1.085075320336487958e-01,1.518519728217056497e-01,1.687545620892546283e-01,2.366149396549930284e-01,1.160907240421592268e-01,3.176635821610971910e-01,1.745704969149866614e-01,1.395702650910511933e-01,8.343814986411181300e-02,1.212685624780442811e-01,3.798912918341249001e-02,2.104165104793389030e-01,9.614697246299593048e-02,3.472447086844469011e-01,4.378491618123782070e-01,9.120463323359374874e-02,4.699064805049132931e-02,1.430214311222182400e-01,3.127842284110765592e-01
g2132,1.996083015246194470e-01,1.688175532673442669e-01,2.691501638456165191e-01,3.650813799874429999e-01,7.871662650177279064e-01,2.242366237497465109e-01,7.066028849299623715e-01,5.328274680969196098e-01,2.775789832182713468e-01,2.574144196425318665e-01,2.947118717236507091e-01,1.184696958531206434e-01,8.720089972559129654e-01,1.590544408476245453e-01,7.676738800824817188e-01,8.666375385037228263e-01,2.505418402576274906e-01,1.002010502261397734e-01,3.371824252603207173e-01,6.755903599289641015e-01
g2195,6.883453812741022193e-02,7.628617678663025814e-02,1.493974292644722479e-01,1.761458852109886175e-01,2.608737752145446342e-01,1.282265230970053571e-01,3.694097561497570181e-01,1.731514133236675135e-01,1.381313529599513257e-01,1.257338255263984184e-01,1.061481612830088850e-01,4.429938603408584141e-02,3.030530984529947180e-01,1.134636698739948657e-01,4.098478167299806074e-01,4.603751415635023436e-01,8.272912786258455886e-02,4.551948047810622233e-02,1.714312808637905028e-01,2.548398829263122112e-01
g2518,9.462852734068616378e-02,1.133567207807187477e-01,1.533935438845595578e-01,2.061578370790528303e-01,3.460396787881594438e-01,1.322408483902075549e-01,4.199985740719771043e-01,2.531360161378559681e-01,1.774048071799970427e-01,1.284513032726031234e-01,1.566874034809486171e-01,5.421358060820676006e-02,4.196870200188683175e-01,1.036119261437555977e-01,4.057440307109503319e-01,5.429257501784172657e-01,1.200034852529840435e-01,5.689686700865322078e-02,1.795210599922854033e-01,3.866600494180341685e-01
g2739,8.052677585283310457e-02,1.512291005020438839e-01,1.143499874609096578e-01,1.962267569836728676e-01,3.271166977442765966e-01,1.109177969190329599e-01,3.446037492647768263e-01,2.481650425499096757e-01,1.785774515565330400e-01,7.580316784351352755e-02,1.654033774846450644e-01,4.001525430015607371e-02,3.960478670032202553e-01,7.303178375149615986e-02,2.883076221046281251e-01,4.889299302282420490e-01,1.269231784053139744e-01,5.008243191349168177e-02,1.310059324070151077e-01,4.238518436622696894e-01
g3047,9.033812127776846834e-02,6.936265214490996978e-02,1.511752581341392898e-01,1.657475938295604190e-01,3.260496638844598838e-01,1.137933001222368179e-01,3.208264440878978441e-01,2.125705199414624214e-01,1.159791977246757561e-01,1.202259802752130291e-01,1.195206664360553284e-01,5.313576087042400781e-02,3.051088858935847026e-01,9.098132018808165189e-02,3.996069795728663943e-01,3.936982275297590261e-01,1.026647779296008256e-01,4.619701728871965229e-02,1.659165135533722524e-01,2.727557706955904271e-01
g3393,2.240587562746562400e-01,2.951422892610968129e-01,3.983192485029051766e-01,5.272178369578619517e-01,8.257651758584744206e-01,3.471840398543788453e-01,1.066516662815402583e+00,5.999718749831417508e-01,4.516252077323761327e-01,3.183120476370711049e-01,3.812546737153428844e-01,1.289649814452632215e-01,9.968234718798090199e-01,2.804302171809335831e-01,1.046899742831635116e+00,1.389948155631526072e+00,2.892405015259197909e-01,1.417547860585540165e-01,4.560461879086195047e-01,9.498603151702795788e-01
